code,first_letter,level,name,parent_code,region
131028,d,3,大厂回族自治县,131000,0
131081,b,3,霸州市,131000,0
131082,s,3,三河市,131000,0
131102,t,3,桃城区,131100,0
131103,j,3,冀州区,131100,0
131121,z,3,枣强县,131100,0
131122,w,3,武邑县,131100,0
131123,w,3,武强县,131100,0
131124,r,3,饶阳县,131100,0
131125,a,3,安平县,131100,0
131126,g,3,故城县,131100,0
131127,j,3,景县,131100,0
131128,f,3,阜城县,131100,0
131182,s,3,深州市,131100,0
140105,x,3,小店区,140100,0
140106,y,3,迎泽区,140100,0
140107,x,3,杏花岭区,140100,0
140108,j,3,尖草坪区,140100,0
140109,w,3,万柏林区,140100,0
140110,j,3,晋源区,140100,0
140121,q,3,清徐县,140100,0
140122,y,3,阳曲县,140100,0
140123,l,3,娄烦县,140100,0
140181,g,3,古交市,140100,0
140212,x,3,新荣区,140200,0
140213,p,3,平城区,140200,0
140214,y,3,云冈区,140200,0
140215,y,3,云州区,140200,0
140221,y,3,阳高县,140200,0
140222,t,3,天镇县,140200,0
140223,g,3,广灵县,140200,0
140224,l,3,灵丘县,140200,0
140225,h,3,浑源县,140200,0
140226,z,3,左云县,140200,0
140302,c,3,城区,140300,0
140303,k,3,矿区,140300,0
140311,j,3,郊区,140300,0
140321,p,3,平定县,140300,0
140322,y,3,盂县,140300,0
140403,l,3,潞州区,140400,0
140404,s,3,上党区,140400,0
140405,t,3,屯留区,140400,0
140406,l,3,潞城区,140400,0
140423,x,3,襄垣县,140400,0
140425,p,3,平顺县,140400,0
140426,l,3,黎城县,140400,0
140427,h,3,壶关县,140400,0
140428,z,3,长子县,140400,0
140429,w,3,武乡县,140400,0
140430,q,3,沁县,140400,0
140431,q,3,沁源县,140400,0
140502,c,3,城区,140500,0
140521,q,3,沁水县,140500,0
140522,y,3,阳城县,140500,0
140524,l,3,陵川县,140500,0
140525,z,3,泽州县,140500,0
140581,g,3,高平市,140500,0
140602,s,3,朔城区,140600,0
140603,p,3,平鲁区,140600,0
140621,s,3,山阴县,140600,0
140622,y,3,应县,140600,0
140623,y,3,右玉县,140600,0
140681,h,3,怀仁市,140600,0
140702,y,3,榆次区,140700,0
140721,y,3,榆社县,140700,0
140722,z,3,左权县,140700,0
140723,h,3,和顺县,140700,0
140724,x,3,昔阳县,140700,0
140725,s,3,寿阳县,140700,0
140726,t,3,太谷县,140700,0
140727,q,3,祁县,140700,0
140728,p,3,平遥县,140700,0
140729,l,3,灵石县,140700,0
140781,j,3,介休市,140700,0
140802,y,3,盐湖区,140800,0
140821,l,3,临猗县,140800,0
140822,w,3,万荣县,140800,0
